,id,longitude,latitude,time,NDVI
0,2000_02_18,-95.31462032739668,43.30890274150728,950832000000,2020.0
1,2000_03_05,-95.31462032739668,43.30890274150728,952214400000,1929.0
2,2000_03_21,-95.31462032739668,43.30890274150728,953596800000,1991.0
3,2000_04_06,-95.31462032739668,43.30890274150728,954979200000,2058.0
4,2000_04_22,-95.31462032739668,43.30890274150728,956361600000,2372.0
5,2000_05_08,-95.31462032739668,43.30890274150728,957744000000,
6,2000_05_24,-95.31462032739668,43.30890274150728,959126400000,
7,2000_06_09,-95.31462032739668,43.30890274150728,960508800000,4188.0
8,2000_06_25,-95.31462032739668,43.30890274150728,961891200000,
9,2000_07_11,-95.31462032739668,43.30890274150728,963273600000,8712.0
10,2000_07_27,-95.31462032739668,43.30890274150728,964656000000,8615.0
11,2000_08_12,-95.31462032739668,43.30890274150728,966038400000,
12,2000_08_28,-95.31462032739668,43.30890274150728,967420800000,7684.0
13,2000_09_13,-95.31462032739668,43.30890274150728,968803200000,3432.0
14,2000_09_29,-95.31462032739668,43.30890274150728,970185600000,3764.0
15,2000_10_15,-95.31462032739668,43.30890274150728,971568000000,
16,2000_10_31,-95.31462032739668,43.30890274150728,972950400000,1994.0
17,2000_11_16,-95.31462032739668,43.30890274150728,974332800000,
18,2000_12_02,-95.31462032739668,43.30890274150728,975715200000,
19,2000_12_18,-95.31462032739668,43.30890274150728,977097600000,
20,2001_01_01,-95.31462032739668,43.30890274150728,978307200000,
21,2001_01_17,-95.31462032739668,43.30890274150728,979689600000,
22,2001_02_02,-95.31462032739668,43.30890274150728,981072000000,
23,2001_02_18,-95.31462032739668,43.30890274150728,982454400000,
24,2001_03_06,-95.31462032739668,43.30890274150728,983836800000,
25,2001_03_22,-95.31462032739668,43.30890274150728,985219200000,
26,2001_04_07,-95.31462032739668,43.30890274150728,986601600000,2233.0
27,2001_04_23,-95.31462032739668,43.30890274150728,987984000000,2514.0
28,2001_05_09,-95.31462032739668,43.30890274150728,989366400000,2658.0
29,2001_05_25,-95.31462032739668,43.30890274150728,990748800000,2492.0
30,2001_06_10,-95.31462032739668,43.30890274150728,992131200000,
31,2001_06_26,-95.31462032739668,43.30890274150728,993513600000,4290.0
32,2001_07_12,-95.31462032739668,43.30890274150728,994896000000,7838.0
33,2001_07_28,-95.31462032739668,43.30890274150728,996278400000,9175.0
34,2001_08_13,-95.31462032739668,43.30890274150728,997660800000,9180.0
35,2001_08_29,-95.31462032739668,43.30890274150728,999043200000,8233.0
36,2001_09_14,-95.31462032739668,43.30890274150728,1000425600000,4181.0
37,2001_09_30,-95.31462032739668,43.30890274150728,1001808000000,3506.0
38,2001_10_16,-95.31462032739668,43.30890274150728,1003190400000,2400.0
39,2001_11_01,-95.31462032739668,43.30890274150728,1004572800000,2324.0
40,2001_11_17,-95.31462032739668,43.30890274150728,1005955200000,2363.0
41,2001_12_03,-95.31462032739668,43.30890274150728,1007337600000,2274.0
42,2001_12_19,-95.31462032739668,43.30890274150728,1008720000000,2170.0
43,2002_01_01,-95.31462032739668,43.30890274150728,1009843200000,2170.0
44,2002_01_17,-95.31462032739668,43.30890274150728,1011225600000,
45,2002_02_02,-95.31462032739668,43.30890274150728,1012608000000,
46,2002_02_18,-95.31462032739668,43.30890274150728,1013990400000,2462.0
47,2002_03_06,-95.31462032739668,43.30890274150728,1015372800000,
48,2002_03_22,-95.31462032739668,43.30890274150728,1016755200000,2362.0
49,2002_04_07,-95.31462032739668,43.30890274150728,1018137600000,
50,2002_04_23,-95.31462032739668,43.30890274150728,1019520000000,2859.0
51,2002_05_09,-95.31462032739668,43.30890274150728,1020902400000,2590.0
52,2002_05_25,-95.31462032739668,43.30890274150728,1022284800000,2621.0
53,2002_06_10,-95.31462032739668,43.30890274150728,1023667200000,
54,2002_06_26,-95.31462032739668,43.30890274150728,1025049600000,7189.0
55,2002_07_12,-95.31462032739668,43.30890274150728,1026432000000,8939.0
56,2002_07_28,-95.31462032739668,43.30890274150728,1027814400000,8691.0
57,2002_08_13,-95.31462032739668,43.30890274150728,1029196800000,8536.0
58,2002_08_29,-95.31462032739668,43.30890274150728,1030579200000,7617.0
59,2002_09_14,-95.31462032739668,43.30890274150728,1031961600000,7218.0
60,2002_09_30,-95.31462032739668,43.30890274150728,1033344000000,2758.0
61,2002_10_16,-95.31462032739668,43.30890274150728,1034726400000,
62,2002_11_01,-95.31462032739668,43.30890274150728,1036108800000,2437.0
63,2002_11_17,-95.31462032739668,43.30890274150728,1037491200000,2362.0
64,2002_12_03,-95.31462032739668,43.30890274150728,1038873600000,2420.0
65,2002_12_19,-95.31462032739668,43.30890274150728,1040256000000,2397.0
66,2003_01_01,-95.31462032739668,43.30890274150728,1041379200000,2397.0
67,2003_01_17,-95.31462032739668,43.30890274150728,1042761600000,2257.0
68,2003_02_02,-95.31462032739668,43.30890274150728,1044144000000,2331.0
69,2003_02_18,-95.31462032739668,43.30890274150728,1045526400000,
70,2003_03_06,-95.31462032739668,43.30890274150728,1046908800000,2323.0
71,2003_03_22,-95.31462032739668,43.30890274150728,1048291200000,2303.0
72,2003_04_07,-95.31462032739668,43.30890274150728,1049673600000,2351.0
73,2003_04_23,-95.31462032739668,43.30890274150728,1051056000000,
74,2003_05_09,-95.31462032739668,43.30890274150728,1052438400000,
75,2003_05_25,-95.31462032739668,43.30890274150728,1053820800000,
76,2003_06_10,-95.31462032739668,43.30890274150728,1055203200000,3752.0
77,2003_06_26,-95.31462032739668,43.30890274150728,1056585600000,6182.0
